GW,H,A,Pred Home,Pred Away,Acc Home,Acc Away,A Strength,H Strength,GD/Winner,,Correct pred?,Merit H,Merit A,,Merit2 H,Merit2 A,,,,,,
22,MUN,MCI,1,2,2,0,46,35,2,,FALSE,3.32,0.14,,3.02,0.01,,,,,,
22,CHE,BRE,1,2,2,0,33,34,2,,FALSE,3.03,0.12,,3,0,,,,,,
22,LEE,FUL,1,2,1,0,34,23,1,,FALSE,3.06,-0.12,,3,-0.01,,,,,,
22,LIV,BUR,2,1,1,1,14,35,0,,,0.64,1.1,,0.97,1.03,,,,,,
22,SUN,CP,1,0,2,1,28,30,1,,TRUE,2.93,0.03,,3,0,,,,,,
22,TOT,WHU,2,1,1,2,17,28,-1,,FALSE,-0.25,2.93,,-0.02,3,,,,,,
22,NFO,ARS,0,3,0,0,49,24,0,,,1.4,0.86,,1.03,0.97,,,,,,
22,WOL,NEW,1,2,0,0,32,7,0,,,1.03,0.49,,1.03,0.97,,,,,,
22,AVL,EVE,2,1,0,1,30,46,-1,,FALSE,0.03,3.32,,0,3.02,,,,,,
22,BHA,BOU,2,1,1,1,29,29,0,,,0.97,0.97,,1,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
23,WHU,SUN,1,2,3,1,33,17,2,,FALSE,3.03,-0.25,,3,-0.02,,,,,,
23,BUR,TOT,1,2,2,2,27,14,0,,,0.93,0.64,,1.02,0.98,,,,,,
23,FUL,BHA,1,2,2,1,30,31,1,,FALSE,2.97,0.06,,3,0,,,,,,
23,MCI,WOL,2,1,2,0,8,43,2,,TRUE,2.49,0.32,,2.97,0.02,,,,,,
23,BOU,LIV,1,2,3,2,36,27,1,,FALSE,3.1,-0.03,,3.01,0,,,,,,
23,BRE,NFO,2,1,0,2,22,33,-2,,FALSE,-0.14,3.03,,-0.01,3,,,,,,
23,CP,CHE,1,2,1,3,34,28,-2,,TRUE,0.12,2.93,,0,3,,,,,,
23,NEW,AVL,1,2,0,2,43,33,-2,,TRUE,0.32,3.03,,0.02,3,,,,,,
23,ARS,MUN,2,1,2,3,35,50,-1,,FALSE,0.14,3.4,,0.01,3.03,,,,,,
23,EVE,LEE,2,1,1,1,25,32,0,,,0.88,1.03,,0.99,1.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
